Tick,TotalNetWorth,CashBalance,Weight_AAPL,Weight_MSFT,Weight_NVDA
195,158858,70.7793,0.0634089,0.465789,0.470802
196,158865,-334.285,0.0634165,0.465958,0.470626
197,158865,-334.285,0.063424,0.466124,0.470452
198,158865,-334.285,0.0634314,0.466289,0.47028
199,158696,-334.285,0.0647682,0.45527,0.479962
200,158746,209.285,0.0660311,0.444879,0.48909
201,158821,75.5831,0.0672264,0.435063,0.497711
202,158886,64.2795,0.067237,0.435203,0.49756
203,158886,64.2795,0.0672475,0.435342,0.497411
204,158886,64.2795,0.067258,0.435479,0.497263
205,158886,64.2795,0.0672682,0.435614,0.497118
206,158886,64.2795,0.0672784,0.435748,0.496973
207,158886,64.2795,0.0672885,0.435881,0.496831
208,158886,64.2795,0.0672984,0.436012,0.496689
209,158886,64.2795,0.0673082,0.436142,0.49655
210,158886,64.2795,0.067318,0.436271,0.496411
211,158857,64.2795,0.0673397,0.436296,0.496364
212,158857,64.2795,0.0673613,0.436322,0.496317
213,158857,64.2795,0.0673826,0.436347,0.496271
214,158779,64.2795,0.0676354,0.434434,0.497931
215,158779,64.2795,0.0678838,0.432557,0.499559
216,158779,64.2795,0.0681278,0.430717,0.501156
217,158791,678.299,0.0681386,0.430823,0.501038
218,158802,678.299,0.0681303,0.430809,0.501061
219,158802,678.299,0.0681222,0.430795,0.501083
220,158770,678.299,0.0681313,0.430637,0.501232
221,158774,678.299,0.0681524,0.430556,0.501292
222,158766,678.299,0.0681867,0.43047,0.501344
223,158717,678.299,0.068271,0.429964,0.501765
224,158717,678.299,0.0683611,0.429507,0.502132
225,158726,506.264,0.0684364,0.429061,0.502502
226,158726,506.264,0.0684473,0.429152,0.502401
227,158726,506.264,0.068458,0.429242,0.5023
228,158726,506.264,0.0684687,0.429331,0.502201
229,158726,506.264,0.0684792,0.429419,0.502102
230,158726,506.264,0.0684897,0.429506,0.502004
231,158726,506.264,0.0685,0.429592,0.501908
232,158726,506.264,0.0685102,0.429678,0.501812
233,158726,506.264,0.0685204,0.429763,0.501717
234,158726,506.264,0.0685304,0.429847,0.501623
235,158726,506.264,0.0685404,0.42993,0.50153
236,158726,506.264,0.0685502,0.430012,0.501438
237,158726,506.264,0.06856,0.430094,0.501346
238,158726,506.264,0.0685696,0.430175,0.501256
239,158848,506.264,0.0691102,0.433587,0.497303
240,158860,-47.8188,0.0696377,0.436916,0.493446
241,158676,-772.531,0.0720905,0.424699,0.503211
242,158809,727.638,0.0740011,0.411084,0.514915
243,158929,120.459,0.0757904,0.39849,0.52572
244,158832,100.137,0.0776486,0.385404,0.536948
245,158936,104.237,0.0792726,0.372775,0.547952
246,158980,106.027,0.0788741,0.361805,0.559321
247,159067,88.8934,0.0770884,0.36258,0.560332
248,159082,378.951,0.0753969,0.363318,0.561285
249,159096,661.442,0.075412,0.363384,0.561204
250,159096,661.442,0.075427,0.363451,0.561122
251,159096,661.442,0.0754419,0.363516,0.561042
252,159096,661.442,0.0754567,0.363581,0.560962
253,159096,661.442,0.0754713,0.363645,0.560883
254,159096,661.442,0.0754858,0.363709,0.560805
255,159096,661.442,0.0755002,0.363772,0.560727
256,159096,661.442,0.0755144,0.363835,0.56065
257,159305,661.442,0.0771498,0.371708,0.551142
258,159399,94.4985,0.0787177,0.379257,0.542026
259,159480,81.2425,0.0802224,0.3865,0.533278
260,159558,78.0216,0.0802388,0.386573,0.533188
261,159558,78.0216,0.0802551,0.386645,0.5331
262,159558,78.0216,0.0802712,0.386717,0.533012
263,159563,78.0216,0.0802781,0.386744,0.532978
264,159563,78.0216,0.080285,0.386771,0.532944
265,159563,78.0216,0.0802918,0.386798,0.53291
266,159563,78.0216,0.0803075,0.386868,0.532824
267,159563,78.0216,0.0803231,0.386938,0.532739
268,159563,78.0216,0.0803386,0.387006,0.532655
269,159576,78.0216,0.0803327,0.386972,0.532695
270,159576,78.0216,0.0803268,0.386938,0.532735
271,159576,78.0216,0.080321,0.386905,0.532774
272,159681,78.0216,0.0806275,0.388375,0.530997
273,159681,78.0216,0.0809296,0.389825,0.529246
274,159698,-513.368,0.0812273,0.391254,0.527519
275,159814,267.308,0.0813859,0.392012,0.526602
276,159825,-122.653,0.0815426,0.392761,0.525696
277,159825,-122.653,0.0816976,0.393503,0.5248
278,159825,-122.653,0.081716,0.393586,0.524698
279,159825,-122.653,0.0817343,0.393668,0.524597
280,159825,-122.653,0.0817524,0.39375,0.524497
281,159825,-122.653,0.0817703,0.393831,0.524398
282,159825,-122.653,0.0817882,0.393912,0.5243
283,159825,-122.653,0.0818058,0.393992,0.524202
284,159825,-122.653,0.0818234,0.394071,0.524105
285,159825,-122.653,0.0818408,0.39415,0.524009
286,159825,-122.653,0.081858,0.394228,0.523914
287,159920,-122.653,0.0820903,0.395341,0.522568
288,159936,-680.858,0.0823197,0.396441,0.521239
289,159975,221.005,0.0825462,0.397527,0.519927
290,159975,221.005,0.0825648,0.397611,0.519824
291,159975,221.005,0.0825832,0.397695,0.519722
292,159986,-166.058,0.0826015,0.397778,0.51962
293,159986,-166.058,0.0826196,0.397861,0.51952
294,159986,-166.058,0.0826376,0.397942,0.51942
295,159986,-166.058,0.0826555,0.398024,0.519321
296,159986,-166.058,0.0826732,0.398104,0.519222
297,159986,-166.058,0.0826908,0.398184,0.519125
298,159986,-166.058,0.0827083,0.398264,0.519028
299,159986,-166.058,0.0827256,0.398343,0.518932
300,159986,-166.058,0.0827428,0.398421,0.518836
301,159986,-166.058,0.0827599,0.398498,0.518742
302,159986,-166.058,0.0827769,0.398575,0.518648
303,159986,-166.058,0.0827937,0.398652,0.518554
304,159986,-166.058,0.0828104,0.398728,0.518462
305,159986,-166.058,0.082827,0.398803,0.51837
306,159986,-166.058,0.0828434,0.398878,0.518278
307,159986,-166.058,0.0828598,0.398952,0.518188
308,159986,-166.058,0.082876,0.399026,0.518098
309,159986,-166.058,0.0828921,0.399099,0.518009
310,159986,-166.058,0.0829081,0.399172,0.51792
311,159986,-166.058,0.082924,0.399244,0.517832
312,159986,-166.058,0.0829398,0.399316,0.517744
313,159986,-166.058,0.0829555,0.399387,0.517658
314,159986,-166.058,0.082971,0.399458,0.517571
315,159986,-166.058,0.0829864,0.399528,0.517486
316,159986,-166.058,0.0830018,0.399597,0.517401
317,159986,-166.058,0.083017,0.399666,0.517317
318,159986,-166.058,0.0830321,0.399735,0.517233
319,159986,-166.058,0.0830471,0.399803,0.51715
320,159986,-166.058,0.083062,0.399871,0.517067
321,159986,-166.058,0.0830768,0.399938,0.516985
322,159986,-166.058,0.0830916,0.400005,0.516903
323,159986,-166.058,0.0831062,0.400071,0.516822
324,159986,-166.058,0.0831207,0.400137,0.516742
325,159997,-550.151,0.0831351,0.400203,0.516662
326,160184,-550.151,0.084377,0.406177,0.509446
327,160289,104.577,0.0855771,0.41195,0.502473
328,160357,68.7978,0.0867374,0.417532,0.495731
329,160445,66.5317,0.0867306,0.417495,0.495775
330,160445,66.5317,0.0867238,0.417458,0.495818
331,160445,66.5317,0.0867171,0.417422,0.495861
332,160445,66.5317,0.0867328,0.417494,0.495773
333,160445,66.5317,0.0867484,0.417565,0.495687
334,160445,66.5317,0.086764,0.417636,0.4956
335,160445,66.5317,0.0867794,0.417706,0.495514
336,160445,66.5317,0.0867947,0.417776,0.495429
337,160445,66.5317,0.0868099,0.417846,0.495344
338,160445,66.5317,0.0868251,0.417915,0.49526
339,160445,66.5317,0.0868401,0.417983,0.495177
340,160445,66.5317,0.086855,0.418051,0.495094
341,160445,66.5317,0.0868698,0.418119,0.495011
342,160445,66.5317,0.0868846,0.418186,0.494929
343,160445,66.5317,0.0868992,0.418253,0.494848
344,160445,66.5317,0.0869138,0.418319,0.494767
345,160445,66.5317,0.0869282,0.418385,0.494686
346,160445,66.5317,0.0869426,0.418451,0.494607
347,160492,66.5317,0.0869688,0.418574,0.494458
348,160492,66.5317,0.0869949,0.418695,0.49431
349,160492,66.5317,0.0870208,0.418817,0.494163
350,160492,66.5317,0.0870355,0.418884,0.49408
351,160492,66.5317,0.0870502,0.418951,0.493999
352,160492,66.5317,0.0870648,0.419018,0.493917
353,160492,66.5317,0.0870793,0.419084,0.493836
354,160492,66.5317,0.0870937,0.41915,0.493756
355,160492,66.5317,0.087108,0.419216,0.493676
356,160492,66.5317,0.0871223,0.419281,0.493597
357,160492,66.5317,0.0871364,0.419345,0.493518
358,160492,66.5317,0.0871504,0.41941,0.49344
359,160492,66.5317,0.0871644,0.419474,0.493362
360,160492,66.5317,0.0871783,0.419537,0.493285
361,160492,66.5317,0.0871921,0.4196,0.493208
362,160492,66.5317,0.0872058,0.419663,0.493131
363,160504,-320.737,0.0872194,0.419725,0.493056
364,160504,-320.737,0.087233,0.419787,0.49298
365,160504,-320.737,0.0872464,0.419849,0.492905
366,160504,-320.737,0.0872598,0.41991,0.49283
367,160504,-320.737,0.0872731,0.419971,0.492756
368,160504,-320.737,0.0872863,0.420031,0.492683
369,160504,-320.737,0.0872995,0.420091,0.492609
370,160539,-320.737,0.0874072,0.419522,0.493071
371,160539,-320.737,0.0875141,0.418958,0.493528
372,160539,-320.737,0.0876202,0.418399,0.493981
373,160539,-320.737,0.0876328,0.41846,0.493908
374,160539,-320.737,0.0876454,0.41852,0.493835
375,160539,-320.737,0.0876578,0.41858,0.493762
376,160539,-320.737,0.0876702,0.418639,0.49369
377,160539,-320.737,0.0876825,0.418699,0.493619
378,160539,-320.737,0.0876947,0.418758,0.493548
379,160539,-320.737,0.0877069,0.418816,0.493477
380,160539,-320.737,0.087719,0.418874,0.493407
381,160549,-484.7,0.087731,0.418932,0.493337
382,160549,-484.7,0.087743,0.41899,0.493267
383,160549,-484.7,0.0877549,0.419047,0.493198
384,160549,-484.7,0.0877667,0.419104,0.493129
385,160549,-484.7,0.0877785,0.419161,0.493061
386,160549,-484.7,0.0877901,0.419217,0.492993
387,160549,-484.7,0.0878018,0.419273,0.492926
388,160549,-484.7,0.0878133,0.419328,0.492858
389,160549,-484.7,0.0878248,0.419384,0.492792
390,160549,-484.7,0.0878362,0.419439,0.492725
391,160549,-484.7,0.0878476,0.419493,0.492659
392,160549,-484.7,0.0878589,0.419548,0.492593
393,160549,-484.7,0.0878701,0.419602,0.492528
394,160549,-484.7,0.0878813,0.419655,0.492463
395,160549,-484.7,0.0878924,0.419709,0.492399
396,160549,-484.7,0.0879035,0.419762,0.492334
397,160549,-484.7,0.0879144,0.419815,0.492271
398,160549,-484.7,0.0879254,0.419868,0.492207
399,160549,-484.7,0.0879362,0.41992,0.492144
400,160549,-484.7,0.087947,0.419972,0.492081
401,160549,-484.7,0.0879578,0.420024,0.492019
402,160549,-484.7,0.0879685,0.420075,0.491956
403,160549,-484.7,0.0879791,0.420126,0.491895
404,160549,-484.7,0.0879897,0.420177,0.491833
405,160549,-484.7,0.0880002,0.420228,0.491772
406,160549,-484.7,0.0880107,0.420278,0.491711
407,160549,-484.7,0.0880211,0.420328,0.491651
408,160549,-484.7,0.0880314,0.420378,0.491591
409,160549,-484.7,0.0880417,0.420428,0.491531
410,160549,-484.7,0.0880519,0.420477,0.491471
411,160549,-484.7,0.0880621,0.420526,0.491412
412,160549,-484.7,0.0880723,0.420575,0.491353
413,160549,-484.7,0.0880823,0.420623,0.491295
414,160549,-484.7,0.0880923,0.420671,0.491236
415,160549,-484.7,0.0881023,0.420719,0.491178
416,160549,-484.7,0.0881122,0.420767,0.491121
417,160549,-484.7,0.0881221,0.420815,0.491063
418,160549,-484.7,0.0881319,0.420862,0.491006
419,160549,-484.7,0.0881417,0.420909,0.49095
420,160549,-484.7,0.0881514,0.420955,0.490893
421,160549,-484.7,0.088161,0.421002,0.490837
422,160549,-484.7,0.0881707,0.421048,0.490781
423,160501,-484.7,0.0872824,0.421509,0.491209
424,160501,-484.7,0.0864162,0.421959,0.491625
425,160501,-484.7,0.0855714,0.422399,0.492029
426,160530,-562.344,0.0855795,0.422446,0.491975
427,160530,-562.344,0.0855876,0.422491,0.491921
428,160530,-562.344,0.0855956,0.422537,0.491867
429,160530,-562.344,0.0856036,0.422582,0.491814
430,160530,-562.344,0.0856116,0.422627,0.491761
431,160530,-562.344,0.0856195,0.422672,0.491708
432,160475,-562.344,0.0844125,0.423279,0.492309
433,160475,-562.344,0.0832449,0.423867,0.492888
434,160495,-221.961,0.0821147,0.424437,0.493448
435,160506,-31.0627,0.0821211,0.424482,0.493397
436,160506,-31.0627,0.0821274,0.424527,0.493346
437,160506,-31.0627,0.0821337,0.424571,0.493295
438,160506,-31.0627,0.0821412,0.424615,0.493244
439,160506,-31.0627,0.0821487,0.424658,0.493193
440,160506,-31.0627,0.0821561,0.424701,0.493143
441,160506,-31.0627,0.0821623,0.424745,0.493093
442,160506,-31.0627,0.0821684,0.424788,0.493043
443,160506,-31.0627,0.0821745,0.424831,0.492994
444,160498,-31.0627,0.0821833,0.424873,0.492944
445,160509,-415.418,0.0821921,0.424914,0.492894
446,160509,-415.418,0.0822009,0.424956,0.492844
447,160439,-415.418,0.0801903,0.425932,0.493878
448,160455,-164.302,0.0782847,0.426859,0.494856
449,160476,161.024,0.0764762,0.427741,0.495782
450,160375,31.2363,0.0692244,0.431145,0.49963
451,160472,662.976,0.0632552,0.433955,0.502789
452,160596,123.799,0.0582559,0.436316,0.505428
453,160672,562.15,0.0582585,0.43636,0.505381
454,160672,562.15,0.0582611,0.436404,0.505335
455,160672,562.15,0.0582637,0.436447,0.505289
456,160616,562.15,0.0569984,0.437078,0.505924
457,160616,562.15,0.0557924,0.437681,0.506527
458,160645,929.673,0.0546418,0.438258,0.5071
459,160661,1128.79,0.0546434,0.438301,0.507055
460,160661,1128.79,0.054645,0.438344,0.507011
461,160661,1128.79,0.0546465,0.438387,0.506967
462,160661,1128.79,0.0546481,0.438429,0.506923
463,160661,1128.79,0.0546496,0.438472,0.506879
464,160661,1128.79,0.0546512,0.438514,0.506835
465,160661,1128.79,0.0546527,0.438556,0.506792
466,160661,1128.79,0.0546542,0.438597,0.506748
467,160672,745.19,0.0546558,0.438639,0.506705
468,160672,745.19,0.0546573,0.43868,0.506663
469,160672,745.19,0.0546588,0.438721,0.50662
470,160672,745.19,0.0546603,0.438762,0.506577
471,160672,745.19,0.0546618,0.438803,0.506535
472,160672,745.19,0.0546632,0.438844,0.506493
473,160672,745.19,0.0546647,0.438884,0.506451
474,160672,745.19,0.0546662,0.438924,0.50641
475,160672,745.19,0.0546676,0.438964,0.506368
476,160672,745.19,0.0546691,0.439004,0.506327
477,160672,745.19,0.0546705,0.439044,0.506286
478,160672,745.19,0.054672,0.439083,0.506245
479,160672,745.19,0.0546734,0.439122,0.506204
480,160672,745.19,0.0546748,0.439162,0.506164
481,160672,745.19,0.0546762,0.439201,0.506123
482,160821,745.19,0.055159,0.443106,0.501735
483,160844,-27.3684,0.0556313,0.446928,0.497441
484,160876,-789.575,0.0560935,0.450669,0.493237
485,160941,140.467,0.0560952,0.450711,0.493194
486,160941,140.467,0.056097,0.450753,0.49315
487,160941,140.467,0.0560987,0.450795,0.493107
488,160941,140.467,0.0561005,0.450836,0.493064
489,160941,140.467,0.0561022,0.450877,0.493021
490,160941,140.467,0.0561039,0.450918,0.492978
491,160941,140.467,0.0561056,0.450959,0.492936
492,160941,140.467,0.0561073,0.450999,0.492893
493,160941,140.467,0.056109,0.45104,0.492851
494,160941,140.467,0.0561106,0.45108,0.492809
495,160941,140.467,0.0561123,0.45112,0.492767
496,160941,140.467,0.056114,0.45116,0.492726
497,160941,140.467,0.0561156,0.4512,0.492684
498,160941,140.467,0.0561173,0.45124,0.492643
499,160941,140.467,0.0561189,0.451279,0.492602
500,160941,140.467,0.0561205,0.451318,0.492561
501,160941,140.467,0.0561222,0.451357,0.49252
502,160941,140.467,0.0561238,0.451396,0.49248
503,160941,140.467,0.0561254,0.451435,0.49244
504,160941,140.467,0.056127,0.451474,0.492399
505,160941,140.467,0.0561286,0.451512,0.492359
506,160941,140.467,0.0561302,0.45155,0.49232
507,160941,140.467,0.0561317,0.451588,0.49228
508,160941,140.467,0.0561333,0.451626,0.49224
509,160941,140.467,0.0561349,0.451664,0.492201
510,160941,140.467,0.0561364,0.451702,0.492162
511,160941,140.467,0.056138,0.451739,0.492123
512,160941,140.467,0.0561395,0.451776,0.492084
513,160941,140.467,0.0561411,0.451814,0.492045
514,160941,140.467,0.0561426,0.451851,0.492007
515,160941,140.467,0.0561441,0.451887,0.491968
516,160941,140.467,0.0561456,0.451924,0.49193
517,160941,140.467,0.0561471,0.451961,0.491892
518,160941,140.467,0.0561486,0.451997,0.491854
519,160941,140.467,0.0561501,0.452033,0.491817
520,160941,140.467,0.0561516,0.452069,0.491779
521,160941,140.467,0.0561531,0.452105,0.491742
522,160941,140.467,0.0561546,0.452141,0.491704
523,161019,140.467,0.0563543,0.450243,0.493403
524,161019,140.467,0.0565516,0.448368,0.495081
525,161019,140.467,0.0567465,0.446516,0.496737
526,161055,670.375,0.0567478,0.446554,0.496699
527,161055,670.375,0.0567491,0.446591,0.49666
528,161055,670.375,0.0567504,0.446628,0.496622
529,161055,670.375,0.0567517,0.446664,0.496584
530,161055,670.375,0.0567529,0.446701,0.496546
531,161003,670.375,0.0557194,0.447227,0.497053
532,161003,670.375,0.0547269,0.447735,0.497539
533,161029,969.726,0.0537728,0.448223,0.498004
534,161029,969.726,0.0537734,0.44826,0.497967
535,161029,969.726,0.053774,0.448296,0.49793
536,161029,969.726,0.0537746,0.448332,0.497893
537,161029,969.726,0.0537752,0.448368,0.497857
538,161029,969.726,0.0537758,0.448404,0.49782
539,161029,969.726,0.0537764,0.44844,0.497784
540,161029,969.726,0.053777,0.448475,0.497748
541,161029,969.726,0.0537775,0.448511,0.497712
542,161029,969.726,0.0537781,0.448546,0.497676
543,161029,969.726,0.0537787,0.448581,0.49764
